title,cwe,description,cvss,cvss_v4,finding,stream,kind,where,snippet,method
011. Use of software with known vulnerabilities,CWE-1333,"Use of nth-check at version 1.0.2 with ['CVE-2021-3803', 'GHSA-rp65-9cf3-cjxr'] in MyApp/package-lock.json",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,18010,"
   5720 |       ""integrity"": ""sha512-FJF9gKVNHAljGOgV6zS5ou2N7ZgjOqMMtcPA5lsJEUI5/AZzVDWCmtcowTP80wEtHuupkd7d7M399FA082kXYQ==""
   5721 |     },
   5722 |     ""node_modules/@vercel/static-build"": {
        ^ Col 0
",npm.npm_package_lock_json
011. Use of software with known vulnerabilities,CWE-144 + CWE-74,"Use of postcss at version 7.0.39 with ['CVE-2023-44270', 'GHSA-7fh5-64p2-3v2j'] in MyApp/package-lock.json",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,16478,"
  16468 |     ""node_modules/resolve-url-loader/node_modules/convert-source-map"": {
  16469 |       ""version"": ""1.9.0"",
  16470 |       ""resolved"": ""https://registry.npmjs.org/convert-source-map/-/convert-source-map-1.9.0.tgz"",
  16471 |       ""integrity"": ""sha512-ASFBup0Mz1uyiIjANan1jzLQami9z1PoYSZCiiYW2FczPbenXc45FZdBZLzOT+r6+iciuEModtmCti+hjaAk0A==""
  16472 |     },
  16473 |     ""node_modules/resolve-url-loader/node_modules/picocolors"": {
  16474 |       ""version"": ""0.2.1"",
  16475 |       ""resolved"": ""https://registry.npmjs.org/picocolors/-/picocolors-0.2.1.tgz"",
  16476 |       ""integrity"": ""sha512-cMlDqaLEqfSaW8Z7N5Jw+lyIW869EzT73/F5lhtY9cLGoVxSXznfgfXMO0Z5K0o0Q2TkTXq+0KFsdnSe3jDViA==""
